Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\1\\bulbasaur.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\1\\bulbasaur
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\2\\ivysaur.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\2\\ivysaur
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\3\\venusaur.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\3\\venusaur
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\4\\charmander.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\4\\charmander
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\5\\charmeleon.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\5\\charmeleon
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\6\\charizard.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\6\\charizard
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\7\\squirtle.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\7\\squirtle
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\8\\wartortle.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\8\\wartortle
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\9\\blastoise.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\9\\blastoise
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\10\\caterpie.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\10\\caterpie
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\11\\metapod.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\11\\metapod
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\12\\butterfree.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\12\\butterfree
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\13\\weedle.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\13\\weedle
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\14\\kakuna.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\14\\kakuna
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\15\\beedrill.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\15\\beedrill
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\16\\pidgey.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\16\\pidgey
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\17\\pidgeotto.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\17\\pidgeotto
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\18\\pidgeot.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\18\\pidgeot
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\19\\rattata.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\19\\rattata
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\20\\raticate.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\20\\raticate
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\21\\spearow.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\21\\spearow
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\22\\fearow.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\22\\fearow
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\23\\ekans.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\23\\ekans
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\24\\arbok.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\24\\arbok
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\25\\pikachu.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\25\\pikachu
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\26\\raichu.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\26\\raichu
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\27\\sandshrew.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\27\\sandshrew
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\28\\sandslash.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\28\\sandslash
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\29\\nidoran-f.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\29\\nidoran-f
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\30\\nidorina.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\30\\nidorina
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\31\\nidoqueen.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\31\\nidoqueen
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\32\\nidoran-m.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\32\\nidoran-m
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\33\\nidorino.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\33\\nidorino
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\34\\nidoking.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\34\\nidoking
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\35\\clefairy.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\35\\clefairy
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\36\\clefable.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\36\\clefable
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\37\\vulpix.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\37\\vulpix
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\38\\ninetales.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\38\\ninetales
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\39\\jigglypuff.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\39\\jigglypuff
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\40\\wigglytuff.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\40\\wigglytuff
Mech,futuristic,robot,highly detailed,sharp focus, HD,steampunk, 4K, Ultra realistic, artstation, by greg rutkowski -f0.59 -IC:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\41\\zubat.png -o C:\\Users\\rosha\\Documents\\Code\\PokemonNightmare\\Images2\\41\\zubat
